No of Lines,Probes,N,Actual_infected,Appx_Infected_PerLine,Host/Probe,Appx_Inf/Probe,Contamination,Zone
1,84,14000,1170,1170,14000,1170,17.391614884651098,Collection Zone
1,84,14000,1170,1170,14000,1170,16.15598885793872,Collection Zone
1,84,14000,1170,1170,14000,1170,17.341618455824584,Collection Zone
1,84,14000,1170,1170,14000,1170,16.505963859724304,Collection Zone
1,84,14000,1170,1170,14000,1170,16.68452253410471,Collection Zone
1,84,14000,1170,1170,14000,1170,16.798800085708162,Collection Zone
1,84,14000,1170,1170,14000,1170,17.22019855724591,Collection Zone
1,84,14000,1170,1170,14000,1170,16.28455110349261,Collection Zone
1,84,14000,1170,1170,14000,1170,18.484393971859152,Collection Zone
1,84,14000,1170,1170,14000,1170,16.941647025212482,Collection Zone
2,168,14000,1170,585,7000,585,16.927362331262053,Collection Zone
2,168,14000,1170,585,7000,585,17.69159345761017,Collection Zone
2,168,14000,1170,585,7000,585,17.605885293907576,Collection Zone
2,168,14000,1170,585,7000,585,17.920148560817083,Collection Zone
2,168,14000,1170,585,7000,585,17.591600599957147,Collection Zone
2,168,14000,1170,585,7000,585,17.98442968359403,Collection Zone
2,168,14000,1170,585,7000,585,17.177344475394616,Collection Zone
2,168,14000,1170,585,7000,585,16.513106206699522,Collection Zone
2,168,14000,1170,585,7000,585,17.063066923791155,Collection Zone
2,168,14000,1170,585,7000,585,16.484536818798656,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,16.99878580101421,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,16.670237840154275,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,17.248767945146774,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,17.034497535890296,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,17.09163631169202,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,16.255981715591744,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,17.448753660452827,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,17.084493964716806,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,17.341618455824584,Collection Zone
3,252,14000,1170,390,4666.666666666667,390,17.884436825941005,Collection Zone
4,336,14000,1170,292,3500,292.5,17.520177130204985,Collection Zone
4,336,14000,1170,292,3500,292.5,17.127348046568102,Collection Zone
4,336,14000,1170,292,3500,292.5,17.14877508749375,Collection Zone
4,336,14000,1170,292,3500,292.5,18.405828155131776,Collection Zone
4,336,14000,1170,292,3500,292.5,17.284479680022855,Collection Zone
4,336,14000,1170,292,3500,292.5,17.577315906006714,Collection Zone
4,336,14000,1170,292,3500,292.5,16.927362331262053,Collection Zone
4,336,14000,1170,292,3500,292.5,17.93443325476752,Collection Zone
4,336,14000,1170,292,3500,292.5,17.505892436254552,Collection Zone
4,336,14000,1170,292,3500,292.5,17.09163631169202,Collection Zone
5,420,14000,1170,234,2800,234,17.248767945146774,Collection Zone
5,420,14000,1170,234,2800,234,17.055924576815944,Collection Zone
5,420,14000,1170,234,2800,234,17.36304549675023,Collection Zone
5,420,14000,1170,234,2800,234,17.170202128419398,Collection Zone
5,420,14000,1170,234,2800,234,17.348760802799802,Collection Zone
5,420,14000,1170,234,2800,234,16.00599957145918,Collection Zone
